name,phone,address,lon,lat
基隆心身心精神科診所,02-24283399,基隆市仁愛區仁一路181號,25.128014,121.7510614
詠欣精神科診所,02-24272247,基隆市信義區信二路281號1樓,25.1304538,121.74715
紀醫師診所,02-24551482,基隆市七堵區開元路83號,25.0957249,121.7128222
林青穀家庭醫學專科診所,02-27217055,台北市大安區大安路一段2-1號,25.0448141,121.5461047
敦南心診所,02-27331995,台北市大安區樂利路109號,25.0250688,121.5524245
光慧診所,02-27555627,台北市大安區復興南路二段176號,25.0274674,121.5432222
杏語心靈診所,02-77121526,台北市大安區復興南路一段200號11樓,25.0395962,121.5435462
書田泌尿科眼科診所,02-23690211,台北市大安區建國南路2段276號,25.0252453,121.5372012
欣美診所,02-23253218,台北市大安區復興南路一段342號2樓之5,25.035985,121.5433309
昱捷診所,02-27002709,台北市大安區信義路三段202號9樓之1,25.0331581,121.5432945
宇寧身心診所,02-27080706,台北市大安區復興南路二段6號3樓,25.0329698,121.5432815
晴天身心精神科診所,02-87716545,台北市大安區延吉街135-3號2樓,25.0421308,121.5544555
主愛心靈診所,02-23651224,台北市大安區羅斯福路三段283巷14弄6號,25.0183219,121.5320202
馨思身心精神科診所,02-33933030,台北市大安區信義路二段208號7樓之1,25.0334369,121.5307573
大心診所(忠孝),02-27718821,台北市大安區忠孝東路四段205巷7弄13號2樓,25.0421733,121.552578
春暘診所,02-27019586,台北市大安區敦化南路二段46號17樓,25.0312217,121.5483739
大安身心診所,02-23658680,台北市大安區和平東路二段18-9號1樓,25.025621,121.53612
向陽診所,02-87713000,台北市大安區忠孝東路四段218之2號B棟2樓,25.041209,121.55317
澄心診所,02-25230480,台北市中山區中山北路二段82號2樓,25.057496,121.522511
黃雅芬兒童心智診所,02-25675690,台北市中山區南京西路5-1號12樓之1,25.0526354,121.5213719
微煦心靈診所,02-25312626,台北市中山區中山北路二段39巷6號2F-1,25.0539225,121.523481
黃偉俐診所,02-25114123,台北市中山區天津街37號2樓,25.0497733,121.5230089
鈺璽診所,02-25095569,台北市中山區南京東路二段132號4樓,25.051731,121.533697
心禾診所,02-27506122,台北市中山區復興北路92號11樓之1,25.0513843,121.5437872
振芝心身醫學診所,02-55963919,台北市中山區復興北路282號2樓,25.0587868,121.5438917
慶生診所,02-25983456,台北市中山區林森北路561號2樓,25.064568,121.5258218
進安身心診所,02-25330726,台北市中山區北安路593號,25.082043,121.548621
天晴診所,02-28355329,台北市士林區中山北路六段292號,25.1104188,121.5256956
天母康健身心診所,02-28378787,台北市士林區德行西路100號,25.104071,121.521173
社子安心診所,02-28136622,台北市士林區延平北路5段76號,25.0807546,121.5108821
奇岩身心診所,02-28919008,台北市北投區中央南路一段191號,25.1287038,121.5012734
石牌鄭身心醫學診所,02-28227660,台北市北投區石牌路一段69號,25.1135677,121.5110131
北辰身心醫學診所,02-28925500,台北市北投區光明路2巷9-3號,25.1315983,121.4994802
邱楠超診所,02-25702296,台北市松山區延吉街20號1樓,25.0467831,121.5533436
李政洋身心診所,02-27620086,台北市松山區三民路84號,25.0565241,121.5638027
双悅診所,02-27609122,台北市松山區南京東路5段324號,25.051388,121.544913
泓仁診所,02-29382627,台北市文山區木新路二段273號,24.9829018,121.5661086
木柵身心診所,02-29301550,台北市文山區辛亥路四段246號1F,25.0016364,121.5549194
和沛身心醫學診所,02-23688500,台北市文山區羅斯福路五段232號,25.0017786,121.5388658
萬華身心精神科診所,02-23088878,台北市萬華區和平西路3段142號1樓,25.0351427,121.4988969
福全身心科診所,02-23327712,台北市萬華區中華路二段600號1樓,25.0244113,121.5099424
新佑泉診所,02-27595512,台北市信義區忠孝東路五段508之4號1樓,25.0409849,121.5786202
松德精神科診所,02-87894477,台北市信義區松德路108號,25.0377465,121.574982
伯特利身心診所,02-27200938,台北市信義區光復南路421號2樓,25.036243,121.5578333
信義身心精神科診所,02-27580988,台北市信義區莊敬路412號1樓,25.0271439,121.566148
醫者診所,02-27576888,台北市信義區基隆路一段333號3樓306室,25.0344396,121.5612058
夏一新精神科診所,02-87928213,台北市內湖區成功路三段143號4樓,25.079589,121.5900214
曜暘診所,02-87925925,台北市內湖區民權東路六段123巷8號,25.0692741,121.5927222
林威廷身心精神科診所,02-26308128,台北市內湖區東湖路10號1樓,25.0686772,121.6126211
夏凱納生活診所,02-25558313,台北市大同區五原路15號,25.0566729,121.517422
平安身心精神科診所,02-23680055,台北市中正區羅斯福路三段218號1樓,25.0188044,121.5298659
永康身心診所,02-23581818,台北市中正區金山南路一段127號,25.0356306,121.5277302
蘭心診所,02-23515995,台北市中正區南昌路二段11號1樓,25.0283399,121.5195187
遠東聯合診所,02-23111525,台北市中正區永綏街8-14號,25.042991,121.511026
大心診所(古亭),02-23676883,台北市中正區南昌路二段206號5樓之1,25.0240379,121.52432
開馨診所,02-26532987,台北市南港區南港路二段38巷6-1號1樓,25.0547564,121.6047806
楊思亮診所,02-82528779,新北市板橋區文化路二段4號,25.0238989,121.4687404
楊孟達身心精神科診所,02-22555222,新北市板橋區文化路一段275號,25.0184993,121.4646651
家樺聯合診所,02-82523000,新北市板橋區雙十路二段42號1樓,25.0276238,121.4760588
放開心身心精神科診所,02-29557768,新北市板橋區忠孝路92號,25.0020399,121.4617583
幸福身心精神科診所,02-29578000,新北市板橋區實踐路83號,25.005648,121.464115
樂為診所,02-22518068,新北市板橋區漢生西路68號1樓,25.018989,121.463136
順心診所,02-89520669,新北市板橋區中山路二段160號,25.0170874,121.4768855
